scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
large_battle,183225,13.900,71.94,0.100,0.000,0.000,126,44.6
large_battle,183238,12.900,77.52,0.000,0.000,0.000,126,44.6
large_battle,183253,15.100,66.23,0.000,0.100,0.000,126,44.6
large_battle,183272,18.900,52.91,0.000,0.000,0.000,126,57.2
large_battle,183295,22.800,43.86,0.000,0.100,0.000,126,57.2
large_battle,183307,12.100,82.64,0.100,0.000,0.000,126,57.2
large_battle,183324,16.800,59.52,0.100,0.000,0.000,126,67.6
large_battle,183342,17.900,55.87,0.000,0.100,0.000,126,67.6
large_battle,183354,12.300,81.30,0.000,0.100,0.000,126,67.6
large_battle,183370,16.000,62.50,0.100,0.000,0.000,126,67.6
large_battle,183391,21.000,47.62,0.100,0.100,0.000,126,82.1
large_battle,183406,14.400,69.44,0.000,0.100,0.000,126,82.1
large_battle,183422,16.800,59.52,0.000,0.000,0.000,126,82.1
large_battle,183445,22.100,45.25,0.100,0.100,0.000,126,92.5
large_battle,183457,12.400,80.65,0.000,0.000,0.000,126,92.5
large_battle,183471,13.600,73.53,0.000,0.000,0.000,126,92.5
large_battle,183487,16.300,61.35,0.100,0.000,0.000,126,92.5
large_battle,183503,16.500,60.61,0.000,0.100,0.000,126,49.5
large_battle,183524,20.300,49.26,0.000,0.000,0.000,126,49.5
large_battle,183537,13.200,75.76,0.100,0.000,0.000,126,49.5
large_battle,183553,16.600,60.24,0.100,0.100,0.000,126,59.9
large_battle,183572,18.600,53.76,0.000,0.000,0.000,126,59.9
large_battle,183591,19.300,51.81,0.000,0.100,0.000,126,59.9
large_battle,183605,13.500,74.07,0.000,0.100,0.000,126,70.3
large_battle,183627,21.700,46.08,0.000,0.100,0.000,126,70.3
large_battle,183640,13.600,73.53,0.000,0.100,0.000,126,70.3
large_battle,183661,21.200,47.17,0.000,0.000,0.000,126,80.7
large_battle,183673,12.000,83.33,0.000,0.000,0.000,126,80.7
large_battle,183687,13.400,74.63,0.100,0.000,0.000,126,80.7
large_battle,183704,16.800,59.52,0.000,0.000,0.000,126,80.7
large_battle,183721,17.200,58.14,0.000,0.000,0.000,126,95.2
large_battle,183742,21.300,46.95,0.000,0.000,0.000,126,95.2
large_battle,183760,17.500,57.14,0.100,0.000,0.000,126,95.2
large_battle,183773,13.700,72.99,0.000,0.100,0.000,126,48.4
large_battle,183794,21.200,47.17,0.100,0.000,0.000,126,48.4
large_battle,183808,13.900,71.94,0.000,0.000,0.000,126,48.4
large_battle,183823,15.000,66.67,0.100,0.000,0.000,126,46.0
large_battle,183837,13.500,74.07,0.100,0.000,0.000,126,46.0
large_battle,183854,16.800,59.52,0.000,0.000,0.000,126,46.0
large_battle,183870,16.400,60.98,0.100,0.000,0.000,126,46.0
large_battle,183891,21.000,47.62,0.000,0.000,0.000,126,62.5
large_battle,183909,18.100,55.25,0.100,0.000,0.000,126,62.5
large_battle,183923,13.500,74.07,0.100,0.000,0.000,126,62.5
large_battle,183944,21.100,47.39,0.000,0.100,0.000,126,72.9
large_battle,183959,14.900,67.11,0.100,0.000,0.000,126,72.9
large_battle,183972,12.900,77.52,0.000,0.100,0.000,126,72.9
large_battle,183993,21.700,46.08,0.100,0.000,0.000,126,72.9
large_battle,184006,12.300,81.30,0.000,0.100,0.000,126,87.4
large_battle,184020,14.800,67.57,0.100,0.000,0.000,126,87.4
large_battle,184037,16.600,60.24,0.100,0.000,0.000,126,87.4
large_battle,184054,16.800,59.52,0.000,0.000,0.000,126,87.4
large_battle,184070,16.600,60.24,0.000,0.100,0.000,126,45.7
large_battle,184088,18.100,55.25,0.000,0.000,0.000,126,45.7
large_battle,184104,15.700,63.69,0.000,0.000,0.000,126,45.7
large_battle,184120,16.200,61.73,0.000,0.100,0.000,126,58.0
large_battle,184139,18.300,54.64,0.000,0.000,0.000,126,58.0
large_battle,184157,17.900,55.87,0.000,0.000,0.000,126,58.0
large_battle,184178,21.800,45.87,0.000,0.000,0.000,126,70.3
large_battle,184192,13.400,74.63,0.000,0.000,0.000,126,70.3
large_battle,184207,14.900,67.11,0.000,0.100,0.000,126,70.3
large_battle,184227,20.400,49.02,0.000,0.000,0.000,126,70.3
large_battle,184240,13.200,75.76,0.100,0.100,0.000,126,82.8
large_battle,184262,21.900,45.66,0.000,0.000,0.000,126,82.8
large_battle,184274,11.600,86.21,0.000,0.100,0.000,126,82.8
large_battle,184290,16.400,60.98,0.000,0.000,0.000,126,82.8
large_battle,184304,13.600,73.53,0.100,0.000,0.000,126,97.3
large_battle,184320,16.700,59.88,0.000,0.000,0.000,126,97.3
large_battle,184341,20.200,49.50,0.000,0.000,0.000,126,97.3
large_battle,184363,22.200,45.05,0.000,0.000,0.000,126,52.5
large_battle,184377,13.800,72.46,0.000,0.000,0.000,126,52.5
large_battle,184390,13.300,75.19,0.000,0.000,0.000,126,52.5
large_battle,184412,22.300,44.84,0.100,0.000,0.000,126,52.5
large_battle,184425,13.100,76.34,0.000,0.100,0.000,126,63.1
large_battle,184438,13.100,76.34,0.100,0.000,0.000,126,63.1
large_battle,184460,21.900,45.66,0.000,0.000,0.000,126,63.1
large_battle,184474,13.300,75.19,0.000,0.000,0.000,126,63.1
large_battle,184487,13.700,72.99,0.000,0.000,0.000,126,75.7
large_battle,184504,16.400,60.98,0.000,0.000,0.000,126,75.7
large_battle,184521,16.800,59.52,0.000,0.000,0.000,126,75.7
large_battle,184537,16.800,59.52,0.000,0.000,0.000,126,75.7
large_battle,184556,19.000,52.63,0.000,0.000,0.000,126,92.1
large_battle,184571,15.100,66.23,0.100,0.000,0.000,126,92.1
large_battle,184593,21.100,47.39,0.100,0.000,0.000,126,92.1
large_battle,184608,15.000,66.67,0.000,0.000,0.000,126,47.3
large_battle,184628,20.500,48.78,0.000,0.000,0.000,126,47.3
large_battle,184642,14.000,71.43,0.000,0.000,0.000,126,47.3
large_battle,184656,13.900,71.94,0.100,0.000,0.000,126,47.3
large_battle,184675,19.500,51.28,0.000,0.000,0.000,126,59.9
large_battle,184690,14.800,67.57,0.000,0.000,0.000,126,59.9
large_battle,184710,20.100,49.75,0.000,0.000,0.000,126,59.9
large_battle,184723,12.500,80.00,0.100,0.000,0.000,126,59.9
large_battle,184737,14.600,68.49,0.100,0.000,0.000,126,74.3
large_battle,184754,16.600,60.24,0.100,0.000,0.000,126,74.3
large_battle,184771,16.600,60.24,0.100,0.000,0.000,126,74.3
large_battle,184787,16.700,59.88,0.200,0.000,0.000,126,74.3
large_battle,184809,21.900,45.66,0.000,0.000,0.000,126,90.8
large_battle,184822,13.200,75.76,0.100,0.000,0.000,126,90.8
large_battle,184844,21.500,46.51,0.000,0.100,0.000,126,90.8
large_battle,184856,12.400,80.65,0.100,0.000,0.000,126,90.8
large_battle,184872,15.400,64.94,0.000,0.000,0.000,126,44.1
large_battle,184889,17.300,57.80,0.100,0.100,0.000,126,44.1
large_battle,184907,17.800,56.18,0.000,0.000,0.000,126,44.1
large_battle,184922,15.200,65.79,0.000,0.000,0.000,126,56.4
large_battle,184938,15.500,64.52,0.000,0.000,0.000,126,56.4
large_battle,184954,16.600,60.24,0.000,0.000,0.000,126,56.4
large_battle,184971,16.600,60.24,0.000,0.000,0.000,126,56.4
large_battle,184987,16.600,60.24,0.100,0.000,0.000,126,72.8
large_battle,185004,16.800,59.52,0.100,0.000,0.000,126,72.8
large_battle,185022,17.700,56.50,0.000,0.000,0.000,126,72.8
large_battle,185037,15.500,64.52,0.100,0.000,0.000,126,85.1
large_battle,185058,20.500,48.78,0.100,0.000,0.000,126,85.1
large_battle,185073,15.000,66.67,0.000,0.000,0.000,126,85.1
large_battle,185091,18.000,55.56,0.000,0.000,0.000,126,97.5
large_battle,185109,18.600,53.76,0.000,0.000,0.000,126,97.5
large_battle,185125,15.100,66.23,0.000,0.000,0.000,126,97.5
large_battle,185139,14.200,70.42,0.000,0.000,0.000,126,97.5
large_battle,185154,15.500,64.52,0.100,0.000,0.000,126,55.1
large_battle,185171,16.600,60.24,0.100,0.000,0.000,126,55.1
large_battle,185188,16.700,59.88,0.100,0.000,0.000,126,55.1
large_battle,185204,16.900,59.17,0.100,0.000,0.000,126,67.4
large_battle,185222,17.200,58.14,0.000,0.000,0.000,126,67.4
large_battle,185238,15.900,62.89,0.100,0.000,0.000,126,67.4
large_battle,185254,16.600,60.24,0.100,0.100,0.000,126,67.4
large_battle,185275,20.900,47.85,0.100,0.000,0.000,126,83.8
large_battle,185288,13.300,75.19,0.000,0.000,0.000,126,83.8
large_battle,185304,15.900,62.89,0.000,0.000,0.000,126,83.8
large_battle,185322,17.600,56.82,0.100,0.100,0.000,126,83.8
large_battle,185341,19.200,52.08,0.000,0.000,0.000,126,98.3
large_battle,185367,25.700,38.91,0.000,0.000,0.000,126,98.3
large_battle,185383,15.900,62.89,0.000,0.100,0.000,126,98.3
large_battle,185403,20.500,48.78,0.100,0.000,0.000,126,40.4
large_battle,185417,13.600,73.53,0.000,0.000,0.000,126,40.4
large_battle,185428,11.100,90.09,0.000,0.100,0.000,126,40.4
large_battle,185440,12.500,80.00,0.000,0.000,0.000,126,40.4
large_battle,185461,20.500,48.78,0.000,0.000,0.000,126,51.0
large_battle,185474,13.100,76.34,0.100,0.000,0.000,126,51.0
large_battle,185495,20.900,47.85,0.000,0.000,0.000,126,51.0
large_battle,185508,13.500,74.07,0.100,0.000,0.000,126,51.0
large_battle,185530,21.400,46.73,0.000,0.000,0.000,126,63.6
large_battle,185541,11.300,88.50,0.000,0.000,0.000,126,63.6
large_battle,185554,13.300,75.19,0.000,0.000,0.000,126,63.6
large_battle,185572,17.700,56.50,0.000,0.000,0.000,126,63.6
large_battle,185590,18.300,54.64,0.100,0.000,0.000,126,78.1
large_battle,185609,18.800,53.19,0.100,0.000,0.000,126,78.1
large_battle,185623,13.500,74.07,0.000,0.000,0.000,126,78.1
large_battle,185639,16.500,60.61,0.000,0.000,0.000,126,78.1
large_battle,185658,19.000,52.63,0.000,0.000,0.000,126,92.6
large_battle,185673,14.400,69.44,0.000,0.000,0.000,126,92.6
large_battle,185688,15.800,63.29,0.100,0.000,0.000,126,92.6
large_battle,185704,16.100,62.11,0.000,0.000,0.000,126,92.6
large_battle,185726,21.700,46.08,0.100,0.000,0.000,126,52.3
large_battle,185740,13.700,72.99,0.000,0.100,0.000,126,52.3
large_battle,185754,14.600,68.49,0.000,0.100,0.000,126,52.3
large_battle,185773,18.600,53.76,0.100,0.000,0.000,126,52.3
large_battle,185795,21.500,46.51,0.100,0.000,0.000,126,66.8
large_battle,185808,13.300,75.19,0.000,0.000,0.000,126,66.8
large_battle,185827,18.700,53.48,0.000,0.000,0.000,126,66.8
large_battle,185839,12.800,78.12,0.000,0.000,0.000,126,66.8
large_battle,185858,18.500,54.05,0.100,0.000,0.000,126,81.3
large_battle,185872,13.800,72.46,0.000,0.100,0.000,126,81.3
large_battle,185888,16.200,61.73,0.200,0.000,0.000,126,81.3
large_battle,185908,19.800,50.51,0.100,0.000,0.000,126,81.3
large_battle,185921,13.800,72.46,0.000,0.000,0.000,126,97.7
large_battle,185938,16.500,60.61,0.000,0.000,0.000,126,97.7
large_battle,185955,16.600,60.24,0.000,0.000,0.000,126,97.7
large_battle,185977,22.800,43.86,0.000,0.000,0.000,126,53.1
large_battle,185991,14.100,70.92,0.000,0.100,0.000,126,53.1
large_battle,186006,14.100,70.92,0.100,0.100,0.000,126,53.1
large_battle,186027,21.700,46.08,0.000,0.000,0.000,126,53.1
large_battle,186040,12.800,78.12,0.000,0.000,0.000,126,63.8
large_battle,186055,14.500,68.97,0.000,0.100,0.000,126,63.8
large_battle,186076,21.100,47.39,0.000,0.000,0.000,126,63.8
large_battle,186089,13.100,76.34,0.000,0.000,0.100,126,63.8
large_battle,186109,20.000,50.00,0.000,0.000,0.000,126,78.2
large_battle,186123,14.700,68.03,0.100,0.000,0.000,126,78.2
large_battle,186138,14.400,69.44,0.100,0.000,0.000,126,78.2
large_battle,186155,16.700,59.88,0.100,0.000,0.000,126,78.2
large_battle,186172,17.200,58.14,0.100,0.000,0.000,126,95.3
large_battle,186191,19.700,50.76,0.000,0.000,0.000,126,95.3
large_battle,186209,17.800,56.18,0.100,0.000,0.000,126,95.3
large_battle,186224,14.700,68.03,0.000,0.100,0.000,126,51.8
large_battle,186238,14.100,70.92,0.200,0.000,0.000,126,51.8
large_battle,186255,16.700,59.88,0.100,0.000,0.000,126,51.8
large_battle,186272,16.800,59.52,0.000,0.000,0.000,126,51.8
large_battle,186291,19.000,52.63,0.100,0.000,0.000,126,68.3
large_battle,186310,19.100,52.36,0.000,0.000,0.000,126,68.3
large_battle,186325,15.400,64.94,0.000,0.000,0.000,126,68.3
large_battle,186346,20.900,47.85,0.000,0.000,0.000,126,80.6
large_battle,186358,12.100,82.64,0.000,0.000,0.000,126,80.6
large_battle,186371,13.400,74.63,0.000,0.000,0.000,126,80.6
large_battle,186388,17.000,58.82,0.100,0.100,0.000,126,80.6
large_battle,186405,16.400,60.98,0.000,0.000,0.000,126,95.2
large_battle,186421,16.600,60.24,0.000,0.100,0.000,126,95.2
large_battle,186438,16.700,59.88,0.200,0.000,0.000,126,95.2
large_battle,186459,20.400,49.02,0.000,0.000,0.000,126,50.7
large_battle,186472,13.900,71.94,0.000,0.100,0.000,126,50.7
large_battle,186495,22.600,44.25,0.000,0.000,0.000,126,50.7
large_battle,186508,12.500,80.00,0.000,0.000,0.000,126,50.7
large_battle,186526,18.100,55.25,0.100,0.000,0.000,126,63.3
large_battle,186539,13.800,72.46,0.000,0.000,0.000,126,63.3
large_battle,186555,15.500,64.52,0.000,0.000,0.000,126,63.3
large_battle,186573,17.600,56.82,0.100,0.000,0.000,126,63.3
large_battle,186594,21.600,46.30,0.000,0.000,0.000,126,77.8
large_battle,186608,13.900,71.94,0.100,0.000,0.000,126,77.8
large_battle,186630,21.700,46.08,0.000,0.100,0.000,126,77.8
large_battle,186644,13.900,71.94,0.000,0.100,0.000,126,77.8
large_battle,186657,12.900,77.52,0.000,0.000,0.000,126,88.5
large_battle,186677,20.900,47.85,0.100,0.000,0.000,126,88.5
large_battle,186691,13.300,75.19,0.100,0.000,0.000,126,88.5
large_battle,186707,16.200,61.73,0.000,0.000,0.000,126,98.9
large_battle,186731,23.900,41.84,0.100,0.000,0.000,126,98.9
large_battle,186745,14.300,69.93,0.100,0.000,0.000,126,98.9
large_battle,186758,12.600,79.37,0.000,0.000,0.000,126,51.8
large_battle,186772,14.000,71.43,0.000,0.000,0.000,126,51.8
large_battle,186789,17.600,56.82,0.000,0.000,0.000,126,51.8
large_battle,186810,20.200,49.50,0.000,0.100,0.000,126,64.1
large_battle,186824,14.800,67.57,0.000,0.100,0.000,126,64.1
large_battle,186838,14.000,71.43,0.000,0.000,0.000,126,64.1
large_battle,186855,16.700,59.88,0.000,0.100,0.000,126,64.1
large_battle,186872,16.500,60.61,0.000,0.000,0.000,126,80.6
large_battle,186891,19.300,51.81,0.100,0.000,0.000,126,80.6
large_battle,186907,15.900,62.89,0.100,0.000,0.000,126,80.6
large_battle,186924,17.700,56.50,0.000,0.000,0.000,126,92.9
